#Version 6.4.1.1 
#New best, Iteration, Feasible,Objective,Req 1,Con 1,[total profit],[Reorder Point],[Taget Stock],[trs],
#, , , ,,,,integer (20 40), integer (30 65), integer (-10 10), 
,87,infeas,-56962.6666666667,-56962.6666666667,30,-56962.6666666667,20,30,10,
,88,,33165.6666666667,33165.6666666667,50,33165.6666666667,39,50,4,
,89,,21481.6666666667,21481.6666666667,64,21481.6666666667,35,64,1,
,90,,37451,37451,30,37451,40,30,-10,
,91,,16168.6666666667,16168.6666666667,57,16168.6666666667,33,57,5,
,92,,16541.3333333333,16541.3333333333,65,16541.3333333333,39,65,3,
,93,,30171,30171,65,30171,20,65,-10,
,94,,15773.3333333333,15773.3333333333,65,15773.3333333333,36,65,3,
,95,,19107.6666666667,19107.6666666667,63,19107.6666666667,40,63,0,
,96,,19781.3333333333,19781.3333333333,59,19781.3333333333,36,59,4,
,97,,19555.6666666667,19555.6666666667,65,19555.6666666667,40,65,-4,
,98,,29593.3333333333,29593.3333333333,50,29593.3333333333,40,50,6,
,99,,22842,22842,63,22842,38,63,-5,
,100,,12452.6666666667,12452.6666666667,42,12452.6666666667,40,42,8,
,101,,24316,24316,62,24316,38,62,-9,
,102,,24210,24210,55,24210,37,55,5,
,103,,27896.6666666667,27896.6666666667,64,27896.6666666667,35,64,-8,
,104,,33259.3333333333,33259.3333333333,52,33259.3333333333,40,52,2,
,105,,32990.6666666667,32990.6666666667,64,32990.6666666667,32,64,-10,
,106,,34188.6666666667,34188.6666666667,52,34188.6666666667,40,52,-1,
,107,,32379.3333333333,32379.3333333333,62,32379.3333333333,30,62,-8,
,108,,39126.3333333333,39126.3333333333,46,39126.3333333333,40,46,1,
,109,,34000,34000,61,34000,32,61,-10,
,110,,42364.3333333333,42364.3333333333,41,42364.3333333333,40,41,-1,
,111,,37598.3333333333,37598.3333333333,59,37598.3333333333,31,59,-10,
,112,,45430,45430,45,45430,39,45,-5,
,113,,35015.6666666667,35015.6666666667,61,35015.6666666667,24,61,-10,
,114,,51227.6666666667,51227.6666666667,42,51227.6666666667,38,42,-10,
,115,,37281,37281,61,37281,28,61,-10,
,116,,53128.3333333333,53128.3333333333,40,53128.3333333333,40,40,-10,
